repo,type,pmcid,paper,include,notes
broadinstitute/ichorCNA,code,PMC11384130,Leveraging cfDNA fragmentomic features in a stacked ensemble model for early det,no,tool-cite or off-topic (auto-triaged)
cancer-oncogenomics/cfDNA_fragmentomics_ESCC_prediction,code,PMC11384130,Leveraging cfDNA fragmentomic features in a stacked ensemble model for early det,no,tool-cite or off-topic (auto-triaged)
chanda1993/CNN-for-A-Regression-Machine-Learning-Algorithm-for-Predicting-Cognitive-Impairment-using-qEEG,code,PMC10106803,CNN for a Regression Machine Learning Algorithm for Predicting Cognitive Impairm,no,tool-cite or off-topic (auto-triaged)
changwsh12/Tongue-feature-detection,code,PMC10919637,Tongue feature dataset construction and real-time detection.,no,tool-cite or off-topic (auto-triaged)
chirlu/soxr,code,PMC12950097,Using Machine Learning for the Automated Segmentation and Detection of Swallows ,no,TOOL(resampler) cite; paper PMC12950097 in-scope but shared NO own repo
chuv-tmrr/pmu-extraction,code,PMC13149800,Monitoring carotid arterial stiffness using non-contrast-enhanced 4D MR angiogra,no,tool-cite or off-topic (auto-triaged)
cogstack/medcat,code,PMC13202089,Health inequalities in outpatient neurological conditions across a large UK urba,no,tool-cite or off-topic (auto-triaged)
cosylabiiit/SweetpredDB,code,PMC12274706,A systematic review of data and models for predicting food flavor and texture.,no,tool-cite or off-topic (auto-triaged)
crisglav/discover-eeg,code,PMC11655562,A finer-grained high altitude EEG dataset for hypoxia levels assessment.,no,tool-cite or off-topic (auto-triaged)
cylijiao/ECMAI-WME,code,PMC12355745,Multimodal artificial intelligence for subepithelial lesion classification and c,no,tool-cite or off-topic (auto-triaged)
daibiaoxuwu/umamiMRNN_datasets,code,PMC12274706,A systematic review of data and models for predicting food flavor and texture.,no,tool-cite or off-topic (auto-triaged)
danielmlow/vfp,code,PMC11139298,Identifying bias in models that detect vocal fold paralysis from audio recording,no,tool-cite or off-topic (auto-triaged)
deep-med/DeepPET-OPSCC-Example,code,PMC13045703,Prognostic modeling in head and neck cancer: deep learning or handcrafted radiom,no,tool-cite or off-topic (auto-triaged)
elevoctech/ESMB-corpus,code,PMC13280397,Throat and acoustic paired speech dataset for deep learning-based speech enhance,no,tool-cite or off-topic (auto-triaged)
enoch0307/streamlitapp_cn,code,PMC12803820,Interpretable machine learning for accessible dysphagia screening and staging in,yes,IN-SCOPE dysphagia screening; merged; ATTEMPTABLE (env+weights.pkl)
galaxysunwen/MSTE-master,code,PMC10978847,Accurate and interpretable drug-drug interaction prediction enabled by knowledge,no,tool-cite or off-topic (auto-triaged)
gjmvanboxtel/gsignal,code,PMC11384130,Leveraging cfDNA fragmentomic features in a stacked ensemble model for early det,no,tool-cite or off-topic (auto-triaged)
grailbio-publications/Hubbell_CEBP_InterceptionModel,code,PMC11384130,Leveraging cfDNA fragmentomic features in a stacked ensemble model for early det,no,tool-cite or off-topic (auto-triaged)
greenapple-sea/Esophagus-Motility-Data,code,PMC11828345,Mixed attention ensemble for esophageal motility disorders classification.,borderline,HRM data-only; merged as borderline (no model)
h2oai/h2o-3,code,PMC11384130,Leveraging cfDNA fragmentomic features in a stacked ensemble model for early det,no,tool-cite or off-topic (auto-triaged)
headneckwwl/occult-LNM,code,PMC10796944,"Comparing three-dimensional and two-dimensional deep-learning, radiomics, and fu",no,tool-cite or off-topic (auto-triaged)
huynhngoc/ous-mice,code,PMC12490106,CNN-based prediction using early post-radiotherapy MRI as a proxy for toxicity i,no,tool-cite or off-topic (auto-triaged)
iiscleap/Coswara-Data,code,PMC10398366,Applied Machine Learning Techniques to Diagnose Voice-Affecting Conditions and D,no,tool-cite or off-topic (auto-triaged)
inabiyouni/EEG_dataset_for_artifact-noise_detection,code,PMC13223301,PhysioMotion Artifact: A task-driven EEG dataset with point-wise motion artifact,no,tool-cite or off-topic (auto-triaged)
jaemin-song876/Laryngeal-Disease-Classification-using-Voice-Data,code,PMC11667598,Laryngeal disease classification using voice data: Octave-band vs. mel-frequency,no,tool-cite or off-topic (auto-triaged)
jannisborn/covid19_ultrasound,code,PMC10280416,Explainability of deep learning models in medical video analysis: a survey.,no,tool-cite or off-topic (auto-triaged)
jhc050998/Strokeformer,code,PMC12380291,Strokeformer: A novel deep learning paradigm training transformer-based architec,no,"OUT: stroke thrombolysis prognosis, not dysphagia"
jieunp/radiogenomics,code,PMC13045703,Prognostic modeling in head and neck cancer: deep learning or handcrafted radiom,no,tool-cite or off-topic (auto-triaged)
juryxy/JuSpace,code,PMC13184121,Disentangling individual heterogeneity reveals robust network and molecular sign,no,tool-cite or off-topic (auto-triaged)
katouMegumiH/Umamihub.io,code,PMC12274706,A systematic review of data and models for predicting food flavor and texture.,no,tool-cite or off-topic (auto-triaged)
kbi-fbmi/articles--2025expiratory,code,PMC12978541,Enhancing Adherence to Home-Based Expiratory Muscle Strength Training in Parkins,no,tool-cite or off-topic (auto-triaged)
kexinhuang12345/SkipGNN,code,PMC10978847,Accurate and interpretable drug-drug interaction prediction enabled by knowledge,no,tool-cite or off-topic (auto-triaged)
kgeorgiev42/RCHD-Geriatric-Risk-Analytics,code,PMC12711894,Machine learning-based predictions of healthcare contacts following emergency ho,no,tool-cite or off-topic (auto-triaged)
kildealab/HNGeoNatomyX,code,PMC12811973,Quantification of head and neck cancer patients' anatomical changes during radio,no,tool-cite or off-topic (auto-triaged)
kkteru/grail,code,PMC10978847,Accurate and interpretable drug-drug interaction prediction enabled by knowledge,no,tool-cite or off-topic (auto-triaged)
knowledge-ukraine/MedRehabBot,code,PMC11249847,Innovative Hybrid Cloud Solutions for Physical Medicine and Telerehabilitation R,no,tool-cite or off-topic (auto-triaged)
